,Comparison of Desktop Intel® Processors ,,,,,,,,,,Last Revision : 2019.12.2,,,,,,,,,,,,,,,,
,Product Collection,Processor Number,Quarter Launch,Year launch,Lithography (nm),# of Cores,# of Threads,Processor Base Frequency (GHz),Cache (MB),TDP (W),Max Turbo Frequency (GHz),Intel® Turbo Boost Max Technology 3.0 Frequency (GHz),Memory Types,Max # of Memory Channels,Intel® Processor Graphics,Graphics Base Frequency (MHz),Graphics Max Dynamic Frequency (GHz),Sockets Supported,Intel® Turbo Boost Technology ,Intel® vPro™ Platform Eligibility,Intel® Hyper-Threading Technology ,Intel® Virtualization Technology  (VT-x),Enhanced Intel SpeedStep® Technology,Intel® Stable Image Platform Program (SIPP),Intel® Turbo Boost Max Technology 3.0,Intel® AES New Instructions,Intel® Memory Protection Extensions (Intel® MPX)
,8th Gen  ,i3-8100T,Q2,2018,14,4,4,3.10,6,35,N/A,N/A,DDR4-2400,2, UHD  630,350,1.10,FCLGA1151,No,No,No,Yes,Yes,No,No,Yes,Yes
,8th Gen  ,i5-8500,Q2,2018,14,6,6,3.00,9,65,4.10,N/A,DDR4-2666,2, UHD  630,350,1.10,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,8th Gen  ,i5-8500,Q2,2018,14,6,6,3.00,9,65,4.10,N/A,DDR4-2666,2, UHD  630,350,1.10,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,8th Gen  ,i7-8700T,Q2,2018,14,6,12,2.40,12,35,4.00,N/A,DDR4-2666,2, UHD  630,350,1.20,FCLGA1151,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
,8th Gen  ,i5-8400T,Q2,2018,14,6,6,1.70,9,35,3.30,N/A,DDR4-2666,2, UHD  630,350,1.05,FCLGA1151,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,8th Gen  ,i5-8400,Q2,2018,14,6,6,2.80,9,65,4.00,N/A,DDR4-2666,2, UHD  630,350,1.05,FCLGA1151,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,8th Gen  ,i7-8086k,Q2,2018,14,6,12,4.00,12,95,5.00,N/A,DDR4-2666,2, UHD  630,350,1.20,FCLGA1151,2.0,No,Yes,Yes,Yes,No,No,Yes,Yes
,8th Gen  ,i5-8600T,Q2,2018,14,6,6,2.30,9,35,3.70,N/A,DDR4-2666,2, UHD  630,350,1.15,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,8th Gen  ,i5-8500T,Q2,2018,14,6,6,2.10,9,35,3.50,N/A,DDR4-2666,2, UHD  630,350,1.10,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,8th Gen  ,i3-8350K,Q4,2017,14,4,4,4.00,8,91,N/A,N/A,DDR4-2400,2, UHD  630,350,1.15,FCLGA1151,No,No,No,Yes,Yes,No,No,Yes,Yes
,8th Gen  ,i3-8100,Q4,2017,14,4,4,3.60,6,65,N/A,N/A,DDR4-2400,2, UHD  630,350,1.10,FCLGA1151,No,No,No,Yes,Yes,No,No,Yes,Yes
,8th Gen  ,i5-8600K,Q4,2017,14,6,6,3.60,9,95,4.30,N/A,DDR4-2666,2, UHD  630,350,1.15,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,8th Gen  ,i5-8400,Q4,2017,14,6,6,2.80,9,65,4.00,N/A,DDR4-2666,2, UHD  630,350,1.05,FCLGA1151,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,8th Gen  ,i7-8700K,Q4,2017,14,6,12,3.70,12,95,4.70,N/A,DDR4-2666,2, UHD  630,350,1.20,FCLGA1151,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
,8th Gen  ,i7-8700,Q4,2017,14,6,12,3.20,12,65,4.60,N/A,DDR4-2666,2, UHD  630,350,1.20,FCLGA1151,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
, X-series ,i9-7980XE,Q3,2017,14,18,36,2.60,24.75,165,4.20,4.40,DDR4-2666,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i9-7960X,Q3,2017,14,16,32,2.80,22,165,4.20,4.40,DDR4-2666,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i9-7940X,Q3,2017,14,14,28,3.10,19.25,165,4.30,4.40,DDR4-2666,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
